name_metro,year,idhm,idhm_l,idhm_e,idhm_r,espvida,mort1,t_env,razdep,anosest,t_analf15m,t_analf18m,t_analf25m,t_fund25m,t_med25m,t_super25m,t_flfund,t_flmed,t_flsuper,rdpc,rdpct,renocup,prentrab,rdpc1,rdpc2,rdpc3,rdpc4,rdpc5,rdpc10,r1040,r2040,gini,theil,pind,pmpob,ppob,rind,rmpob,rpob,poptot,pop_young,pop_adult,pop_elder
Grande Vitória,2013,0.796,0.9,0.733,0.765,79.01,9.2,6.54,40.13,9.81,4.02,4.3,5.02,67.55,51.95,15.49,89.54,53.15,19.12,935.99,949.65,1590.63,78.5,176.17,358.4,554.66,883.93,2704.18,3890.58,14.56,10.12,0.523,0.467,2.62,5.23,17.03,19.35,66.14,161.49,1810555,373194,1292095,118366
Rio de Janeiro,2013,0.792,0.89,0.73,0.766,78.37,10.33,10.21,43.19,10.1,2.38,2.51,2.84,70.46,53.15,16.15,92.39,56.14,17.55,942.83,956.17,1556.7,74.53,175.66,362.29,556.02,880.18,2734.52,3977.96,14.79,10.17,0.527,0.478,2.56,5.51,16.9,19.2,70.86,158.21,12255385,2266360,8558750,1251392
São Paulo,2013,0.842,0.91,0.815,0.806,79.6,9.47,8.73,40.32,10.44,2.57,2.73,3.16,72.51,58.03,21.53,92.03,67.17,22.14,1206.91,1218.52,1968.26,80.14,219.68,443.03,687.43,1115.88,3566.1,5175.12,15.62,10.76,0.537,0.499,1.57,2.93,11.59,16.08,60.61,165.51,20706166,3928052,14756526,1807405
Curitiba,2013,0.812,0.873,0.775,0.791,77.4,10.57,6.66,40.55,10,2.98,3.16,3.77,69.94,52.81,19.31,93.21,56.55,21.3,1097.18,1106.99,1822.11,84.22,248.25,479.21,701.55,1105.41,2958.21,4149.38,11.41,8.13,0.481,0.39,1.16,2.69,8.56,10.03,74.98,163.1,3356024,712259,2387855,223478
Florianópolis,2013,0.837,0.879,0.816,0.817,77.76,11.52,6.94,36.62,10.94,1.56,1.65,1.73,75.96,59.83,25.15,91.63,69.66,30.92,1288.86,1299.64,1882.95,74.84,304.52,571.25,834.19,1345.26,3380.08,4612.27,10.53,7.72,0.467,0.363,0.88,1.25,5.45,2.07,29.51,162.92,942274,178644,689719,65430
Porto Alegre,2013,0.785,0.861,0.708,0.795,76.63,11.94,9.32,41.22,10.02,2.15,2.21,2.46,66.42,50.98,14.99,94.43,56.71,21.67,1125.62,1131.99,1683.32,73.76,245.66,473.56,685.89,1031.66,3180.78,4632.18,12.88,8.85,0.504,0.433,0.87,1.87,10.28,16.66,65.55,175.64,4132365,795600,2926199,385113
Vale do Rio Cuiabá,2013,0.785,0.8,0.799,0.757,72.98,20.83,7.02,42.04,9.99,5.43,5.75,6.63,69.94,55.8,18.63,90.56,62.06,27.76,891.05,895.1,1516.8,81.64,209.66,433.02,624.88,933.51,2253.4,3080.19,9.59,7.01,0.449,0.358,1.7,4.45,12.8,33,80.38,159.65,877008,192681,617458,61601
Goiânia,2013,0.78,0.806,0.759,0.776,73.34,18.53,7.61,40.14,9.67,4.41,4.68,5.42,65.02,50.09,15.96,90.61,66.68,22.93,997.57,1001.58,1533.9,77.75,244.64,444.54,627.61,935.05,2740.91,3947.19,11.45,7.95,0.483,0.397,0.8,2.3,9.64,20.43,85.4,168.9,2344839,483168,1673154,178331
Manaus,2014,0.732,0.758,0.723,0.717,70.46,22.86,4.59,48.42,9.81,3.79,4.09,4.9,68.18,54.19,12.94,95.56,51.15,19.83,691.67,695.14,1386.08,82.54,124.95,248.87,385.77,615.87,2079.47,3138.96,16.79,11.13,0.551,0.535,3.14,10.95,30.85,38.21,91.49,158.05,2326990,637671,1567842,106854
Belém,2014,0.734,0.812,0.693,0.704,73.74,16.18,5.76,41.64,9.79,3.43,3.68,4.37,68.65,52.17,11.17,96.22,47.62,16.99,638.63,641.56,1127.92,78.81,141.13,270.85,396.23,601.2,1787.88,2597.25,12.61,8.68,0.501,0.435,2.51,9.11,26.36,36.92,94.72,162.22,2224631,512269,1570651,128192
Macapá,2014,0.741,0.793,0.728,0.705,72.55,27.28,3.91,52.04,9.83,5.55,6.12,7.59,70.01,56.36,16.59,93.98,51.14,18.82,643.64,646.57,1438.73,84.68,122.75,239.64,387.44,648.75,1812.79,2565.86,14.16,10,0.518,0.47,2.65,11.23,32.37,44.91,94.79,158.02,565779,168962,372135,22115
Grande São Luís,2014,0.728,0.736,0.81,0.647,69.17,26.63,6.01,40.8,9.92,4.13,4.37,5.19,77.28,58.33,9.35,94.48,66.9,18.06,447.28,453.94,853.33,79.51,98.34,223.96,345.87,493.18,1074.24,1450.05,9,6.67,0.432,0.336,6.33,13.82,34.98,33.09,73.24,145.53,1402168,299639,995891,84262
Grande Teresina,2014,0.74,0.778,0.729,0.714,71.65,20.78,6.38,43.31,9,9.65,10.26,12.17,61.57,46.07,11.84,97.18,60.47,18.53,679.23,679.51,1102.93,73.64,138.2,273.48,427.91,653.1,1901.72,2794.53,13.58,9.24,0.509,0.457,1.65,9.66,26.62,46.58,98.87,161.25,1198432,283375,836228,76457
Fortaleza,2014,0.731,0.778,0.712,0.706,71.68,20.47,7.52,42.72,8.91,7.91,8.45,10.07,63.48,45.78,10.8,84.2,45.53,18.23,646.74,654.44,1119.05,75.07,124.74,258.83,386.67,602.29,1884.76,2764.64,14.42,9.83,0.522,0.473,4.26,10.52,29.19,34.89,82.03,156.19,3809713,795981,2669292,286566
Natal,2014,0.756,0.824,0.726,0.722,74.46,19.55,6.48,42.08,9.14,8.83,9.23,10.84,61.11,48.28,13.81,95.21,53.31,21.96,715.5,719.3,1226.78,74.43,132.5,269.72,420.48,673.2,2085.91,3036.01,15.1,10.37,0.529,0.496,3.07,8.66,28.07,30.32,83.55,159.62,1453465,327022,1022958,94187
João Pessoa,2014,0.727,0.791,0.667,0.727,72.46,20.32,6.39,45.89,9.13,10.68,11.13,12.81,61.24,48.63,15.69,95.98,43.17,18.46,738.87,742.6,1292.09,73.61,119.22,246.48,386.21,634.56,2305.17,3450.83,18.87,12.61,0.569,0.587,4.29,11.1,31.18,33.87,81.98,156.01,1254589,306425,859929,80218
Recife,2014,0.755,0.798,0.72,0.75,72.86,15.85,7.78,41.7,9.69,6.18,6.57,7.42,68.59,52.87,16.07,88.18,48.33,15.44,852.75,864.42,1614.4,79.55,116.95,262.08,420.68,700.56,2753.67,4137.8,21.83,14.53,0.594,0.637,5.06,10.95,28.75,31.27,73.94,149.19,3877327,784853,2736367,301640
Maceió,2014,0.721,0.789,0.67,0.709,72.36,21.52,6.68,43.79,8.96,9.75,10.44,12.24,60.83,47.12,15.25,82.69,45.94,16.79,659.84,669.67,1192.53,70.88,116.91,246.43,382.81,593.81,1959.22,2913.68,16.04,10.78,0.54,0.509,4.57,11.1,31.53,26.48,76.83,153.8,1222206,272468,849973,81626
Aracaju,2014,0.759,0.796,0.732,0.749,72.76,19.07,6.32,40.78,10.08,4.73,5.02,6.03,69.47,55.55,19,96.21,49.72,27.89,846.92,856.85,1530.68,78.85,140.44,285.15,466.06,788.58,2557.9,3611.13,16.97,12.02,0.55,0.536,3.6,7.49,24.74,25.06,72.41,157.83,901700,192810,640506,56947
Salvador,2014,0.754,0.78,0.719,0.765,71.81,22.95,6.66,36.5,10.48,3.08,3.27,3.81,74.6,60.55,16.14,93.48,53.04,19.37,933.34,942.67,1491.19,78.49,168.28,341.01,516.61,864.37,2776.89,4034.01,15.84,10.91,0.541,0.508,2.13,6.48,18.1,26.19,84.98,158.18,3776476,717894,2766750,251514
Belo Horizonte,2014,0.798,0.858,0.758,0.781,76.49,13.5,7.54,40.17,10.04,3.04,3.22,3.79,66.79,51.78,17.64,97.83,61.26,21.88,1034.44,1039.47,1595.47,77.37,219.28,425.4,615.03,969.01,2950.6,4200.61,13.03,9.15,0.508,0.444,1.19,3.03,12.61,25.06,78.57,174.31,5146597,1060622,3671720,387992
Grande Vitória,2014,0.806,0.906,0.744,0.777,79.37,8.75,7.74,41.83,10.12,3.42,3.64,4.27,70.2,54.92,18.04,92.92,53.89,19.13,1006.07,1016.98,1661.02,75.71,176.85,383.31,598.93,967,2909.25,4139.57,14.78,10.39,0.525,0.487,2.53,5.81,15.86,24.08,75.22,151.79,1839244,380132,1296773,142305
Rio de Janeiro,2014,0.803,0.895,0.749,0.772,78.69,9.99,10.97,41.94,10.22,2.56,2.66,2.98,72.36,53.85,17.23,92.01,57.39,20.54,974.42,989.37,1598.16,73.85,188.12,385.99,587.98,917.63,2791.35,4036.21,14.06,9.72,0.518,0.455,2.28,5.1,14.58,15.56,70.76,155.3,12321257,2095655,8680435,1352041
São Paulo,2014,0.85,0.915,0.827,0.812,79.9,9.17,8.41,40.27,10.55,2.7,2.83,3.25,72.63,58.37,23.04,92.23,74.13,23.58,1253.92,1267.55,2123.2,81.69,233.57,466.45,705.57,1171.16,3737.57,5358.92,15.31,10.68,0.535,0.491,1.61,2.58,10.21,12.64,48.39,165.35,20881992,3996682,14886702,1756596
Curitiba,2014,0.818,0.879,0.786,0.792,77.72,10.13,6.96,38.42,10.08,2.79,2.86,3.35,70.22,55.16,20.47,89.98,57.09,26.5,1106.07,1115.05,1801.67,82.16,260.45,500.81,721.21,1126.29,2916.05,4030.54,10.59,7.66,0.469,0.373,1.11,1.9,8.25,7.97,47.53,167.67,3397681,674789,2454703,236376
Florianópolis,2014,0.836,0.885,0.809,0.817,78.12,11.15,7.76,32.53,10.51,2.49,2.59,3.06,72.39,57.24,22.07,93.13,66.29,28.14,1291.74,1299.84,1779.78,73.1,318.11,610.82,882.77,1326.18,3319.16,4534.87,9.76,7.15,0.453,0.349,0.68,1.12,6.67,4.57,47.49,177.99,959394,153533,723892,74462
Porto Alegre,2014,0.787,0.866,0.702,0.801,76.93,11.62,10.27,41.58,10.19,2.03,2.15,2.33,68.02,51.38,17.54,93.13,48.28,22.77,1171.43,1180.64,1785.9,73.84,240.25,489.79,721.31,1112.24,3297.76,4755.48,13.03,9.03,0.506,0.439,1.23,2.63,10.13,15.77,66.94,169.17,4157610,758920,2936569,427151
Vale do Rio Cuiabá,2014,0.787,0.804,0.8,0.757,73.26,20.33,7.28,42.57,10.09,4.4,4.72,5.51,73.56,55.85,18.05,73.37,58.77,26.49,890.77,896.47,1544.25,80.54,225.1,416.38,611.36,880.7,2319.4,3225.99,10.06,7.23,0.457,0.351,0.95,2.59,12.02,9.31,75.58,178.5,885755,194347,621294,64482
Goiânia,2014,0.786,0.809,0.781,0.77,73.51,18.01,5.7,38.44,10.13,3.47,3.7,4.37,69.5,54.63,16.91,95.63,54.9,28.27,965.34,973.5,1595.95,83.63,227.68,441.27,641.19,966.72,2542.92,3509.97,10.49,7.6,0.467,0.373,1.26,3.57,10.26,7.75,69.6,158.12,2389621,505113,1726149,136121
Manaus,2015,0.736,0.762,0.738,0.708,70.72,22.14,4.34,47.87,10.18,4.23,4.59,5.32,72.58,58.22,14.58,94.7,54.14,19.75,656.47,661.75,1371.4,82.92,113.45,233.19,371.89,611.06,1955.47,2923.54,16.87,11.28,0.547,0.528,3.75,12.83,33.83,35.27,87.55,154.72,2373109,645974,1604808,102910
Belém,2015,0.745,0.816,0.721,0.702,73.94,15.66,6.04,43.41,9.6,3.75,4,4.9,66.54,50.23,11.47,96.41,51.94,19.32,631.45,633.83,1096.27,74.76,138.29,254.83,380.71,593.26,1792.88,2628.92,13.37,9.12,0.51,0.451,2.51,8.76,30.2,38.54,90.77,168.82,2242438,533193,1563684,135426
Macapá,2015,0.738,0.798,0.706,0.713,72.85,27.03,4.64,50.48,9.96,6.3,6.55,7.89,69.46,58.6,16.66,93.96,63.5,20.91,674.58,682.04,1435.32,84.52,113.34,239.04,384.18,670.8,1953.64,2711.68,15.39,11.09,0.534,0.498,3.53,12.84,33.33,37.72,87.28,156.31,577945,160413,384070,26831
Grande São Luís,2015,0.739,0.742,0.796,0.682,69.49,25.33,5.72,39.52,10.04,4.71,4.99,5.93,74.95,59.49,12.87,94.97,66.63,22.06,557.58,563.25,1072.08,81.14,112.78,234.46,359.63,562.9,1521.58,2149,12.38,8.76,0.494,0.424,4.36,12.45,34.17,33.82,85.13,155.37,1412983,302640,1012745,80848
Grande Teresina,2015,0.745,0.781,0.754,0.702,71.84,20.1,7.24,45.9,8.86,10.67,11.35,13.38,60.78,44.89,12.32,97.78,60.66,22.01,630.11,632.37,1090.12,75.69,134.16,248.95,385.71,596.25,1791.19,2636.9,13.77,9.35,0.513,0.456,2.43,9.17,31.45,39.22,91.09,167.83,1203635,285647,824966,87200
Fortaleza,2015,0.738,0.782,0.728,0.707,71.92,19.51,7.31,43.33,9.09,7.63,8.09,9.54,64.42,46.8,11.9,90.68,58.09,19.1,653.28,663.53,1163.02,76.01,117.78,241.91,382.42,608.25,1938.8,2813.71,15.64,10.78,0.534,0.49,3.79,10.57,32.39,25.37,78.13,156.61,3841890,812466,2680378,280670
Natal,2015,0.773,0.829,0.754,0.738,74.73,18.59,6.74,41.96,9.89,6.13,6.5,7.4,67.58,53.44,17.12,96.38,59.49,23.29,788.83,791.16,1350.98,72.62,140.5,284.71,455.32,758.68,2303.19,3314.43,15.59,10.83,0.534,0.515,2.92,8.63,25.68,33.03,85.66,161.9,1471387,330284,1036466,99226
João Pessoa,2015,0.748,0.797,0.709,0.741,72.8,19.23,7.18,44.14,9.36,9.93,10.58,12.29,63.18,51.48,16.81,96.29,52.51,22.46,805.42,812.62,1383.43,71.51,133.62,256.5,400.7,677.72,2554.97,3759.78,19.28,13.1,0.576,0.585,2.98,8.85,29.63,31.22,85.87,161.62,1267410,283755,879307,90965
Recife,2015,0.768,0.805,0.758,0.743,73.32,15.03,8.51,37.45,9.99,5.02,5.24,5.85,69.23,56.06,19.2,90.59,53.53,21.63,813.7,827.83,1429.57,76.96,117.76,260.29,406.88,676.87,2610.29,3986.97,21.09,13.81,0.587,0.612,5.27,10.85,28.59,30.53,72.75,149.35,3903544,664386,2839945,332082
Maceió,2015,0.707,0.796,0.647,0.685,72.76,20.06,6.04,43.08,8.77,9.57,10.21,12.03,58.05,43.28,12.12,82.62,45.91,15.83,568.06,572.39,1036.97,72.54,114.79,228.38,341.17,538.97,1615.29,2337.87,13.63,9.41,0.512,0.453,3.15,12.26,35.56,33.94,88.15,159.29,1230998,286008,860362,74324
Aracaju,2015,0.764,0.801,0.748,0.743,73.04,18.1,6.56,38.05,10.19,5.92,6.18,7.33,69.49,56.85,20.04,98.22,62.63,26,814.47,818.18,1495.55,80.09,144.81,291.5,456.93,742.49,2421.77,3497.18,16.03,11.1,0.543,0.521,1.98,8.44,24.23,28.22,93.08,160.59,914076,186863,662148,59971
Salvador,2015,0.757,0.785,0.738,0.75,72.07,21.93,6.63,35.46,10.55,3.62,3.69,4.23,74.08,62.56,17.9,96.9,44.84,21.39,853.77,863.51,1337.32,76.88,154.54,317.32,493.83,764.13,2534.96,3644.64,15.45,10.74,0.534,0.497,2.8,6.38,21.91,23.64,70.93,162.33,3807614,694651,2810809,252450
Belo Horizonte,2015,0.806,0.863,0.778,0.78,76.78,12.87,8.09,38.15,9.98,2.9,3.04,3.55,66.86,51.98,17.73,96.62,67.62,23.89,1024.23,1033.2,1559.86,75.4,207.67,412.81,606.67,939.96,2952.55,4309.25,13.89,9.52,0.519,0.461,1.42,3.67,12.6,16.94,75.59,161.57,5190614,962638,3757353,419664
Grande Vitória,2015,0.806,0.912,0.755,0.76,79.7,8.34,6.71,39.7,10.13,3.44,3.67,4.24,70.93,55.6,17.2,95.22,56.81,19.37,907.07,921.82,1593.66,79.88,152.15,332.37,525.37,843.81,2677.67,3856.7,15.92,11.05,0.539,0.508,3.22,7.76,19.6,21.13,73.63,149.98,1868224,374971,1337283,125448
Rio de Janeiro,2015,0.809,0.9,0.768,0.767,78.99,9.66,11.47,43.97,10.33,2.32,2.4,2.67,73.62,55.87,17.31,94.62,58.06,22.14,946.75,961.17,1573.43,73.68,180.52,378.18,580.29,911.11,2687.53,3847.31,13.77,9.62,0.514,0.45,2.39,5.33,16.24,16.21,68.59,157.92,12390196,2167984,8606063,1421380
São Paulo,2015,0.85,0.92,0.832,0.802,80.2,8.88,9.06,40.45,10.58,2.74,2.88,3.33,73.25,59.4,22.31,94.03,74.4,22.28,1175.49,1188.23,1992.73,80.2,214.84,428.13,652.9,1019.5,3549.25,5300.12,16.49,11.04,0.549,0.517,1.54,3.26,11.91,12.04,65.84,162.62,21061897,3913486,14996331,1908526
Curitiba,2015,0.815,0.884,0.784,0.781,78.03,9.69,7.8,40.03,10.22,2.22,2.3,2.66,70.87,55.91,22.71,93.14,56.7,23.06,1035.17,1043.7,1688.46,80.56,246.15,485.41,722.33,1103.8,2614.07,3539.7,9.68,7.15,0.452,0.349,1.18,2.74,9.59,17.04,68,162.95,3439954,685530,2456600,268313
Florianópolis,2015,0.839,0.891,0.813,0.816,78.46,10.79,7.98,35.67,11.15,1.9,2.01,2.29,77.47,62.5,25.99,94.5,62.18,30.36,1282,1295.65,1774.97,72.74,331.58,614.27,908.6,1340.56,3217.14,4358.4,9.22,6.8,0.441,0.321,1.05,1.62,4.86,0,35.84,152.84,976931,167788,720075,77952
Porto Alegre,2015,0.784,0.87,0.706,0.784,77.22,11.29,9.43,41.39,10.39,2.04,2.12,2.34,69.66,54.14,18.81,94.06,49.66,19.65,1052.64,1059.35,1620.23,75.52,234.5,472.45,710.25,1084.17,2762.4,3839.3,10.86,7.81,0.47,0.383,1.42,2.75,10.59,21.69,65.34,168.7,4184126,800681,2959243,394728
Vale do Rio Cuiabá,2015,0.795,0.809,0.838,0.742,73.52,19.86,6.38,42.47,10.14,3.34,3.56,4.17,75.85,56.4,15.95,92.2,73.57,31.75,810.87,821.73,1367.2,81.22,192.47,392.38,566.15,839.11,2033.38,2776.52,9.49,6.95,0.449,0.34,2.26,4.26,14.38,18.13,63.89,158.15,894835,197866,628086,57055
Goiânia,2015,0.783,0.812,0.778,0.76,73.7,17.5,6.79,39.42,10.12,3.51,3.67,4.29,70.99,53.78,17.89,96.85,70.34,26.12,905.58,916.65,1545.75,82.62,208.62,419.53,613.83,946.52,2335.04,3131.82,9.97,7.43,0.459,0.354,1.54,4.3,12.77,9.54,77.12,161.62,2435009,493395,1746495,165302
Manaus,2016,0.739,0.766,0.761,0.691,70.98,21.47,4.33,46.8,10.16,3.61,3.87,4.6,74.44,60.92,16.27,96.99,59.32,20.21,590.84,597.37,1237.21,82.8,100.44,211.55,322.16,545.48,1776.23,2623.36,16.82,11.39,0.55,0.527,5.15,15.37,38.89,39.99,84.85,153.03,2416749,638571,1646331,104589
Belém,2016,0.746,0.819,0.719,0.705,74.14,15.17,7.11,40.04,10.02,3.32,3.53,4.18,70.7,54.76,13.03,95.15,49.57,20.21,643.46,646.42,1130.9,76.66,133.48,257.23,388.29,592.84,1840.23,2713.67,13.89,9.42,0.516,0.462,2.86,9.03,30.15,38.88,88.99,165.21,2259233,473306,1613329,160735
Macapá,2016,0.746,0.802,0.733,0.705,73.12,26.78,3.65,45.36,10.64,3.46,3.81,4.41,76.69,63.95,21,92.7,51.58,24.4,643.86,650.54,1404.86,85.18,110.33,233.65,379.54,636.4,1858.31,2592.57,15.07,10.8,0.528,0.491,4.24,13.16,33.4,36.63,85.32,150.69,589931,156160,405849,21522
Grande São Luís,2016,0.749,0.747,0.822,0.685,69.79,24.11,5.87,39.65,10.19,3.71,3.98,4.84,77.39,62.41,13.81,97.38,70.19,23.59,569.45,578.26,1149.13,82.17,104.56,225.42,338.36,540.19,1638.32,2421.88,14.68,9.93,0.527,0.484,5.36,13.11,36.02,29.93,76.69,153.72,1423244,298477,1019176,83512
Grande Teresina,2016,0.726,0.784,0.705,0.692,72.03,19.48,6.03,43.63,8.91,9.88,10.63,12.31,59.64,44.13,13.13,98.69,56.13,20.1,593.18,595.25,1048.99,76.34,110.79,225.97,361.72,574.85,1693.81,2477.93,14.72,10.06,0.522,0.482,3.24,14.42,34.08,43.17,94.17,150.55,1208516,288565,841388,72921
Fortaleza,2016,0.75,0.786,0.758,0.708,72.18,18.64,7.78,41.17,9.23,7.3,7.68,9.07,66.55,48.81,12.19,96.99,60.32,19.41,653.9,660.82,1152.18,74.54,115.47,239.42,369.52,569.51,1981.38,2992.07,16.86,11.17,0.552,0.54,4.76,11.46,33.04,32.53,78.91,155.82,3873701,779694,2743946,301334
Natal,2016,0.766,0.833,0.729,0.741,74.98,17.75,7.36,39.59,9.96,7.38,7.77,8.94,67.72,54.59,17.65,97.11,49.22,22.82,807.06,812.44,1368.67,72.85,135.66,284.02,440.69,710.7,2453.64,3587.51,17.1,11.69,0.555,0.556,3.97,8.88,26.19,33.17,75.25,158.64,1488314,300578,1066221,109572
João Pessoa,2016,0.748,0.802,0.718,0.728,73.12,18.26,8.42,45.34,9.47,8.09,8.61,10.19,63.05,51.22,17.96,97.62,55.81,21.5,743.96,745.84,1281,70.64,118.63,246.14,409.6,664.1,2291.27,3387.11,18.57,12.56,0.562,0.573,3.31,12.94,31.58,40.64,93.89,152.83,1279484,286904,880316,107795
Recife,2016,0.766,0.813,0.758,0.73,73.75,14.33,8.25,39.41,9.8,5.43,5.7,6.49,70.44,55.23,17.7,97.44,58.62,19.03,752.06,769.96,1443.63,76.09,101.56,235.75,374.39,604.08,2429.76,3731.22,22.12,14.41,0.598,0.633,5.82,12.86,32.76,23.39,70.2,144.53,3927484,690596,2817293,323946
Maceió,2016,0.73,0.802,0.693,0.7,73.14,18.77,7.48,40.64,9.2,9.02,9.53,11.11,62.53,48.8,15.42,94.84,46.74,22.02,623.42,629.44,1112.97,71.46,122.69,244.3,367.34,595.06,1781.43,2550.83,13.9,9.71,0.518,0.466,3.38,10.79,31.75,29.81,84.48,156,1239068,251744,880993,92624
Aracaju,2016,0.753,0.805,0.712,0.746,73.3,17.2,6.19,38.38,10.14,5.65,5.99,7.03,69.56,56.06,19.9,96.9,58.81,22.64,827.94,847.48,1599.03,80.31,98.42,256.6,437.95,754.94,2651.49,3758.7,21.17,14.94,0.582,0.617,6.89,13.29,29.06,28.03,68.99,133.26,925792,176755,669003,57280
Salvador,2016,0.762,0.789,0.758,0.741,72.33,21,7.67,38.73,10.36,3.93,4.13,4.77,73.39,60.42,16.31,96.28,49.17,21.46,804.46,814.9,1318.47,72.73,120.05,275.89,446.73,725.87,2455.32,3640.1,18.39,12.4,0.563,0.571,5.45,10.33,26.89,37.39,71.48,147.35,3837498,724588,2766096,294491
Belo Horizonte,2016,0.804,0.868,0.784,0.765,77.05,12.29,7.82,38.42,10.14,2.75,2.9,3.37,68.85,53.78,18.42,98.11,65.79,23.31,932.59,946.54,1459.67,75.56,173,367.66,553.87,876.46,2674.47,3847.12,14.23,9.89,0.52,0.469,3.2,5.71,16.29,21.3,62.41,153.33,5231802,964428,3779747,409295
Grande Vitória,2016,0.808,0.917,0.769,0.749,80,7.97,7.45,39.32,10.13,3.42,3.64,4.32,72.18,57.8,18.05,96.85,58.87,24.56,846.16,863.7,1458.69,76.52,135.53,317.34,499.05,809.21,2469.98,3557.14,15.71,10.91,0.535,0.5,4.69,8.3,21.98,25.54,62.28,145.42,1896056,354973,1360968,141194
Rio de Janeiro,2016,0.815,0.905,0.773,0.773,79.28,9.34,12.06,41.86,10.5,1.92,2.01,2.26,74.93,58.44,20.47,97.42,59.28,21.04,982.54,1000.41,1675.67,74.84,164.63,363.26,568.83,930.07,2872.59,4129.07,15.64,10.88,0.536,0.498,3.17,6.12,17.6,17.15,63.93,150.95,12454124,1941103,8779209,1501895
São Paulo,2016,0.866,0.925,0.86,0.816,80.47,8.61,8.85,39.85,10.96,2.11,2.21,2.5,76.78,63.32,26.41,93.3,78.03,26.22,1282.91,1297.48,2178.55,81.37,203.59,430.79,688.28,1170.75,3863.3,5665.91,17.86,12.18,0.558,0.552,2.08,4.31,12.41,14.91,64.84,153.34,21235551,3903358,15184441,1878449
Curitiba,2016,0.829,0.889,0.817,0.785,78.33,9.3,8.85,39.01,10.19,2.09,2.23,2.6,74.93,58.81,22.56,95.66,63.15,24.67,1058.91,1071.56,1731.74,78.54,228.3,469.14,695.93,1052.96,2842.77,4025.85,11.54,8.15,0.482,0.393,1.38,3,10.83,5.83,65.87,164.31,3480411,626880,2503767,308076
Florianópolis,2016,0.844,0.897,0.828,0.809,78.79,10.45,8.52,35.08,10.86,1.88,1.97,2.32,77.74,62.07,24.99,97.62,53.65,35.72,1226.85,1235.45,1789.95,76.02,295.49,568.58,836.71,1309.05,3138.24,4230.23,9.79,7.26,0.454,0.354,0.99,2.13,6.37,7.44,58.54,158.48,994392,166170,736169,84766
Porto Alegre,2016,0.799,0.875,0.739,0.79,77.5,10.98,10.17,40.94,10.4,2.04,2.15,2.4,71.1,54.6,18.23,97.74,51.32,25.92,1091.71,1104.32,1676.09,73.37,214.36,445.61,667.99,1041.51,3086.47,4426.97,13.42,9.35,0.51,0.448,2.07,4.15,11.52,20,68.22,155.77,4209789,744318,2987001,427980
Vale do Rio Cuiabá,2016,0.797,0.813,0.837,0.743,73.79,19.39,6.86,40.86,10.08,3.74,3.98,4.74,75.3,58.21,21.38,95.68,68.44,27.12,814.86,823.68,1484.79,84,181.62,354.34,532.87,816.39,2188,3037.65,11.34,8.16,0.481,0.396,2.1,3.52,17.41,15.33,55.51,169.36,903381,190004,641346,62003
Goiânia,2016,0.783,0.815,0.784,0.751,73.88,17.02,7.2,41.83,9.84,4.17,4.39,5.14,69.06,54.05,19.7,95.99,64.46,23.41,856,867.92,1421.23,78.89,176.58,365.13,556.8,834.72,2342.04,3377.69,12.47,8.65,0.492,0.417,2.53,5.13,16.42,14.32,63.29,155.51,2478630,517248,1747619,178388
Manaus,2017,0.756,0.771,0.788,0.71,71.23,20.84,4.87,44.35,10.62,2.75,2.94,3.51,75.06,62.76,17.77,97.77,65.23,23.68,662.64,679.24,1411.01,83.12,88.78,207.56,333.74,576.91,2107.08,3207.86,21.65,14.22,0.592,0.623,6.81,15.86,38.51,26.77,73.33,143.96,2459845,574919,1704101,119872
Belém,2017,0.752,0.822,0.73,0.708,74.32,14.72,6.98,40.24,10.32,3.48,3.69,4.31,72.94,57.3,15.57,96.12,52.74,22.98,653.74,660.34,1171.9,77.28,124.86,253.31,390.47,600.31,1897.98,2814.22,14.88,10.04,0.529,0.492,3.78,10.19,30.64,27.92,77.56,160.11,2275757,468814,1622760,158830
Macapá,2017,0.739,0.807,0.713,0.701,73.39,26.54,4.46,48.68,10.04,5.12,5.56,7.21,69.18,56.1,17.93,96.65,55.85,25.26,626.28,631.89,1451.16,86.52,94.27,190.45,299.77,534.32,2017.87,2981.48,20.94,14.17,0.591,0.629,5.74,19.63,44.45,37.63,91.87,151.62,601678,164474,404669,26821
Grande São Luís,2017,0.744,0.752,0.825,0.664,70.09,23,6.22,40.67,10.34,3.44,3.65,4.27,77.68,61.03,13.71,97.15,66.51,22.94,496.86,513.57,987.64,78.19,80.09,209.1,329.47,524.22,1343.2,1864.93,12.9,9.29,0.499,0.429,8.75,17.33,38.76,27.14,67.31,138.92,1433564,277378,1019117,89214
Grande Teresina,2017,0.744,0.787,0.749,0.699,72.22,18.88,7.9,42.59,9.21,9.2,9.84,11.53,61.53,47.08,14.67,98.35,59.21,26.69,619.15,622.26,1074.79,74.1,119,247.18,379.74,581.71,1770.81,2531.9,13.83,9.67,0.518,0.475,3.89,10.94,31.19,37.98,81.14,154.69,1213338,258811,850930,95864
Fortaleza,2017,0.754,0.79,0.754,0.72,72.42,17.85,7.71,41.36,9.72,6.11,6.45,7.67,67.2,52.28,13.99,97.74,57.94,21.61,706.45,711.05,1216.69,76.76,123.59,258.42,399.3,626.08,2129.3,3195.24,16.73,11.15,0.55,0.537,3.96,10.89,30.38,39.84,83.11,159.06,3904606,812636,2762185,301079
